timestamp,irradiance,cloud_cover,temperature,wind_speed,solar_generation_MW,wind_generation_MW,demand_MW,hour,day_of_year,hour_sin,hour_cos,doy_sin,doy_cos,target_pct_capacity_solar,target_pct_capacity_wind,pred_pct_capacity_solar
2023-08-25 09:00:00,673.9206988963545,7.012883904002027,21.83188161135535,1.8009494563675013,13261.393211062434,0.0,38933.693828758405,9,237,0.7071067811865476,-0.7071067811865475,-0.8064799463209447,-0.5912614448635782,0.5304557284424973,0.0,0.4937325
2023-08-25 10:00:00,575.4439316620166,41.22697682758704,27.602665333911062,5.965666639829692,8066.128528616376,713.0432886226669,40118.03569313519,10,237,0.4999999999999999,-0.8660254037844387,-0.8064799463209447,-0.5912614448635782,0.322645141144655,0.0356521644311333,0.32803866
2023-08-25 11:00:00,658.3683220833269,39.19648029071608,30.16362168706097,2.063691914548256,10313.206949213098,0.0,38523.13474363412,11,237,0.258819045102521,-0.9659258262890682,-0.8064799463209447,-0.5912614448635782,0.4125282779685239,0.0,0.36896038
2023-08-25 12:00:00,770.5077981740425,28.6555492226572,30.106798031893977,6.99865419895,12625.287833130402,1656.6805130101168,38700.375126132654,12,237,1.2246467991473532e-16,-1.0,-0.8064799463209447,-0.5912614448635782,0.5050115133252161,0.0828340256505058,0.48195937
2023-08-25 13:00:00,717.8130761422159,31.900647251527054,29.153357280718367,3.577610721112441,10867.285192519885,5.533939228702836,39942.47433583964,13,237,-0.2588190451025208,-0.9659258262890684,-0.8064799463209447,-0.5912614448635782,0.4346914077007954,0.0002766969614351,0.4371003
2023-08-25 14:00:00,610.5472514366602,36.42165267715227,30.2852385104827,6.509167913198387,9271.73036603228,1133.9895563593077,38887.80817854164,14,237,-0.4999999999999997,-0.8660254037844388,-0.8064799463209447,-0.5912614448635782,0.3708692146412912,0.0566994778179653,0.35771313
2023-08-25 15:00:00,526.0292999062871,31.807822974214783,32.121549216813065,6.736071764502765,7294.318930617432,1405.429410632094,38209.21916415928,15,237,-0.7071067811865471,-0.7071067811865479,-0.8064799463209447,-0.5912614448635782,0.2917727572246972,0.0702714705316047,0.322617
2023-08-25 16:00:00,506.1114002768695,0.0,31.10477544271907,5.315498866959787,9482.587400778422,351.7667664855512,37002.99063826351,16,237,-0.8660254037844385,-0.5000000000000004,-0.8064799463209447,-0.5912614448635782,0.3793034960311369,0.0175883383242775,0.39244223
2023-08-25 17:00:00,199.409195246868,28.661456786107408,33.98546937735226,9.740038398842708,2125.8506359014173,8635.079552828827,36120.60696465893,17,237,-0.9659258262890684,-0.2588190451025206,-0.8064799463209447,-0.5912614448635782,0.0850340254360566,0.4317539776414413,0.11701042
2023-08-25 18:00:00,1.2396154127221066e-13,0.0,30.518175566231623,6.098408564024214,0.0,810.1941929059082,35350.79967123102,18,237,-1.0,-1.8369701987210294e-16,-0.8064799463209447,-0.5912614448635782,0.0,0.0405097096452954,0.0077837277
